Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_Rs,warranty_status,Image_URL
Apple,MacBook Pro,e8c332a6,13.3,8,macOS,1.37,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,128,0,SSD,No,Intel,Iris Plus Graphics 640,120572.1,In Progress,https://images.unsplash.com/photo-1512499617640-c2f999098a59
Apple,Macbook Air,a2754952,13.3,8,macOS,1.34,Standard,1440,900,No,No,No,Intel,1.8,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,80904.6,Under Warranty,https://images.unsplash.com/photo-1573729784472-1c977e33d5d3
HP,250 G6,2aefa373,15.6,8,No OS,1.86,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,51750,Warranty Expired,https://images.unsplash.com/photo-1691085475426-d9636c7010b3
Apple,MacBook Pro,a88460b8,15.4,16,macOS,1.83,Standard,2880,1800,No,Yes,Yes,Intel,2.7,Core i7,512,0,SSD,No,AMD,Radeon Pro 455,228370.5,Under Warranty,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
Apple,MacBook Pro,38450f46,13.3,8,macOS,1.37,Standard,2560,1600,No,Yes,Yes,Intel,3.1,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 650,162324,In Progress,https://images.unsplash.com/photo-1512499617640-c2f999098a59
Acer,Aspire 3,8fc562a8,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,AMD,3,A9-Series 9420,500,0,HDD,No,AMD,Radeon R5,36000,Warranty Expired,https://images.unsplash.com/photo-1573729784472-1c977e33d5d3
Apple,MacBook Pro,df3fd016,15.4,16,Mac OS X,2.04,Standard,2880,1800,No,Yes,Yes,Intel,2.2,Core i7,256,0,Flash Storage,No,Intel,Iris Pro Graphics,192597.3,Warranty Expired,https://images.unsplash.com/photo-1509395176047-4a66953fd231
Apple,Macbook Air,99a77ca7,13.3,8,macOS,1.34,Standard,1440,900,No,No,No,Intel,1.8,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,104283,In Progress,https://images.unsplash.com/photo-1512499617640-c2f999098a59
Asus,ZenBook UX430UN,ba8f8b0f,14,16,Windows 10,1.3,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce MX150,134550,In Progress,https://images.unsplash.com/photo-1587825140400-8b0d2e9cfc6f
Acer,Swift 3,4a96430d,14,8,Windows 10,1.6,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,69300,In Progress,https://images.unsplash.com/photo-1593642532973-d31b6557fa68
